date, Population, Annual Change,Jurisdiction,Year
12/1/00,695000,,Maine,1900
12/1/01,699000,0.58,Maine,1901
12/1/02,703000,0.57,Maine,1902
12/1/03,709000,0.85,Maine,1903
12/1/04,719000,1.41,Maine,1904
12/1/05,723000,0.56,Maine,1905
12/1/06,729000,0.83,Maine,1906
12/1/07,731000,0.27,Maine,1907
12/1/08,735000,0.55,Maine,1908
12/1/09,740000,0.68,Maine,1909
12/1/10,745000,0.68,Maine,1910
12/1/11,751000,0.81,Maine,1911
12/1/12,753000,0.27,Maine,1912
12/1/13,763000,1.33,Maine,1913
12/1/14,772000,1.18,Maine,1914
12/1/15,774000,0.26,Maine,1915
12/1/16,775000,0.13,Maine,1916
12/1/17,777000,0.26,Maine,1917
12/1/18,760000,-2.19,Maine,1918
12/1/19,762000,0.26,Maine,1919
12/1/20,771000,1.18,Maine,1920
12/1/21,775000,0.52,Maine,1921
12/1/22,778000,0.39,Maine,1922
12/1/23,781000,0.39,Maine,1923
12/1/24,788000,0.9,Maine,1924
12/1/25,792000,0.51,Maine,1925
12/1/26,793000,0.13,Maine,1926
12/1/27,796000,0.38,Maine,1927
12/1/28,797000,0.13,Maine,1928
12/1/29,797000,0,Maine,1929
12/1/30,800000,0.38,Maine,1930
12/1/31,807000,0.88,Maine,1931
12/1/32,815000,0.99,Maine,1932
12/1/33,821000,0.74,Maine,1933
12/1/34,829000,0.97,Maine,1934
12/1/35,836000,0.84,Maine,1935
12/1/36,840000,0.48,Maine,1936
12/1/37,842000,0.24,Maine,1937
12/1/38,843000,0.12,Maine,1938
12/1/39,846000,0.36,Maine,1939
12/1/40,849000,0.35,Maine,1940
12/1/41,852000,0.35,Maine,1941
12/1/42,839000,-1.53,Maine,1942
12/1/43,806000,-3.93,Maine,1943
12/1/44,801000,-0.62,Maine,1944
12/1/45,800000,-0.12,Maine,1945
12/1/46,832000,4,Maine,1946
12/1/47,854000,2.64,Maine,1947
12/1/48,878000,2.81,Maine,1948
12/1/49,903000,2.85,Maine,1949
12/1/50,917000,1.55,Maine,1950
12/1/51,916000,-0.11,Maine,1951
12/1/52,915000,-0.11,Maine,1952
12/1/53,913000,-0.22,Maine,1953
12/1/54,927000,1.53,Maine,1954
12/1/55,934000,0.76,Maine,1955
12/1/56,938000,0.43,Maine,1956
12/1/57,943000,0.53,Maine,1957
12/1/58,944000,0.11,Maine,1958
12/1/59,957000,1.38,Maine,1959
12/1/60,975000,1.88,Maine,1960
12/1/61,995000,2.05,Maine,1961
12/1/62,994000,-0.1,Maine,1962
12/1/63,993000,-0.1,Maine,1963
12/1/64,993000,0,Maine,1964
12/1/65,997000,0.4,Maine,1965
12/1/66,999000,0.2,Maine,1966
12/1/67,1004000,0.5,Maine,1967
12/1/68,994000,-1,Maine,1968
12/1/69,992000,-0.2,Maine,1969
12/1/70,993722,0.17,Maine,1970
12/1/71,1015390,2.18,Maine,1971
12/1/72,1034292,1.86,Maine,1972
12/1/73,1045655,1.1,Maine,1973
12/1/74,1059040,1.28,Maine,1974
12/1/75,1071995,1.22,Maine,1975
12/1/76,1088412,1.53,Maine,1976
12/1/77,1103578,1.39,Maine,1977
12/1/78,1113566,0.91,Maine,1978
12/1/79,1122563,0.81,Maine,1979
12/1/80,1126860,0.38,Maine,1980
12/1/81,1133033,0.55,Maine,1981
12/1/82,1136684,0.32,Maine,1982
12/1/83,1144772,0.71,Maine,1983
12/1/84,1155635,0.95,Maine,1984
12/1/85,1162936,0.63,Maine,1985
12/1/86,1170126,0.62,Maine,1986
12/1/87,1184574,1.23,Maine,1987
12/1/88,1203840,1.63,Maine,1988
12/1/89,1219961,1.34,Maine,1989
12/1/90,1231296,0.93,Maine,1990
12/1/91,1235439,0.34,Maine,1991
12/1/92,1235748,0.03,Maine,1992
12/1/93,1238256,0.2,Maine,1993
12/1/94,1237687,-0.05,Maine,1994
12/1/95,1237438,-0.02,Maine,1995
12/1/96,1241436,0.32,Maine,1996
12/1/97,1245215,0.3,Maine,1997
12/1/98,1247554,0.19,Maine,1998
12/1/99,1253040,0.44,Maine,1999
12/1/00,1277072,1.92,Maine,2000
12/1/01,1285692,0.67,Maine,2001
12/1/02,1295960,0.8,Maine,2002
12/1/03,1306513,0.81,Maine,2003
12/1/04,1313688,0.55,Maine,2004
12/1/05,1318787,0.39,Maine,2005
12/1/06,1323619,0.37,Maine,2006
12/1/07,1327040,0.26,Maine,2007
12/1/08,1330509,0.26,Maine,2008
12/1/09,1329590,-0.07,Maine,2009
12/1/10,1327651,-0.15,Maine,2010
12/1/11,1328473,0.06,Maine,2011
12/1/12,1328094,-0.03,Maine,2012
12/1/13,1328543,0.03,Maine,2013
12/1/14,1331217,0.2,Maine,2014
12/1/15,1329098,-0.16,Maine,2015
12/1/16,1332348,0.24,Maine,2016
12/1/17,1335743,0.25,Maine,2017
12/1/18,1340123,0.33,Maine,2018
12/1/19,1345770,0.42,Maine,2019
12/1/20,1363557,1.32,Maine,2020
12/1/21,1377238,1,Maine,2021
12/1/22,1385340,0.59,Maine,2022
12/1/00,277000,,Utah,1900
12/1/01,284000,2.53,Utah,1901
12/1/02,292000,2.82,Utah,1902
12/1/03,299000,2.4,Utah,1903
12/1/04,308000,3.01,Utah,1904
12/1/05,316000,2.6,Utah,1905
12/1/06,327000,3.48,Utah,1906
12/1/07,339000,3.67,Utah,1907
12/1/08,351000,3.54,Utah,1908
12/1/09,363000,3.42,Utah,1909
12/1/10,377000,3.86,Utah,1910
12/1/11,387000,2.65,Utah,1911
12/1/12,399000,3.1,Utah,1912
12/1/13,410000,2.76,Utah,1913
12/1/14,422000,2.93,Utah,1914
12/1/15,430000,1.9,Utah,1915
12/1/16,436000,1.4,Utah,1916
12/1/17,444000,1.83,Utah,1917
12/1/18,437000,-1.58,Utah,1918
12/1/19,446000,2.06,Utah,1919
12/1/20,453000,1.57,Utah,1920
12/1/21,457000,0.88,Utah,1921
12/1/22,467000,2.19,Utah,1922
12/1/23,474000,1.5,Utah,1923
12/1/24,481000,1.48,Utah,1924
12/1/25,487000,1.25,Utah,1925
12/1/26,494000,1.44,Utah,1926
12/1/27,500000,1.21,Utah,1927
12/1/28,504000,0.8,Utah,1928
12/1/29,508000,0.79,Utah,1929
12/1/30,509000,0.2,Utah,1930
12/1/31,513000,0.79,Utah,1931
12/1/32,517000,0.78,Utah,1932
12/1/33,520000,0.58,Utah,1933
12/1/34,522000,0.38,Utah,1934
12/1/35,526000,0.77,Utah,1935
12/1/36,527000,0.19,Utah,1936
12/1/37,529000,0.38,Utah,1937
12/1/38,535000,1.13,Utah,1938
12/1/39,543000,1.5,Utah,1939
12/1/40,552000,1.66,Utah,1940
12/1/41,551000,-0.18,Utah,1941
12/1/42,575000,4.36,Utah,1942
12/1/43,631000,9.74,Utah,1943
12/1/44,605000,-4.12,Utah,1944
12/1/45,591000,-2.31,Utah,1945
12/1/46,638000,7.95,Utah,1946
12/1/47,636000,-0.31,Utah,1947
12/1/48,653000,2.67,Utah,1948
12/1/49,671000,2.76,Utah,1949
12/1/50,696000,3.73,Utah,1950
12/1/51,706000,1.44,Utah,1951
12/1/52,724000,2.55,Utah,1952
12/1/53,739000,2.07,Utah,1953
12/1/54,750000,1.49,Utah,1954
12/1/55,783000,4.4,Utah,1955
12/1/56,809000,3.32,Utah,1956
12/1/57,826000,2.1,Utah,1957
12/1/58,845000,2.3,Utah,1958
12/1/59,870000,2.96,Utah,1959
12/1/60,900000,3.45,Utah,1960
12/1/61,936000,4,Utah,1961
12/1/62,958000,2.35,Utah,1962
12/1/63,974000,1.67,Utah,1963
12/1/64,978000,0.41,Utah,1964
12/1/65,994000,1.64,Utah,1965
12/1/66,1009000,1.51,Utah,1966
12/1/67,1019000,0.99,Utah,1967
12/1/68,1029000,0.98,Utah,1968
12/1/69,1047000,1.75,Utah,1969
12/1/70,1059273,1.17,Utah,1970
12/1/71,1101192,3.96,Utah,1971
12/1/72,1135449,3.11,Utah,1972
12/1/73,1170040,3.05,Utah,1973
12/1/74,1200471,2.6,Utah,1974
12/1/75,1236030,2.96,Utah,1975
12/1/76,1274928,3.15,Utah,1976
12/1/77,1319512,3.5,Utah,1977
12/1/78,1367510,3.64,Utah,1978
12/1/79,1420238,3.86,Utah,1979
12/1/80,1472595,3.69,Utah,1980
12/1/81,1515471,2.91,Utah,1981
12/1/82,1558314,2.83,Utah,1982
12/1/83,1594943,2.35,Utah,1983
12/1/84,1622342,1.72,Utah,1984
12/1/85,1642910,1.27,Utah,1985
12/1/86,1662834,1.21,Utah,1986
12/1/87,1678119,0.92,Utah,1987
12/1/88,1689372,0.67,Utah,1988
12/1/89,1705864,0.98,Utah,1989
12/1/90,1729722,1.4,Utah,1990
12/1/91,1771941,2.44,Utah,1991
12/1/92,1821498,2.8,Utah,1992
12/1/93,1875993,2.99,Utah,1993
12/1/94,1930436,2.9,Utah,1994
12/1/95,1976774,2.4,Utah,1995
12/1/96,2022253,2.3,Utah,1996
12/1/97,2065397,2.13,Utah,1997
12/1/98,2100562,1.7,Utah,1998
12/1/99,2129836,1.39,Utah,1999
12/1/00,2244502,5.38,Utah,2000
12/1/01,2283715,1.75,Utah,2001
12/1/02,2324815,1.8,Utah,2002
12/1/03,2360137,1.52,Utah,2003
12/1/04,2401580,1.76,Utah,2004
12/1/05,2457719,2.34,Utah,2005
12/1/06,2525507,2.76,Utah,2006
12/1/07,2597746,2.86,Utah,2007
12/1/08,2663029,2.51,Utah,2008
12/1/09,2723421,2.27,Utah,2009
12/1/10,2775413,1.91,Utah,2010
12/1/11,2814797,1.42,Utah,2011
12/1/12,2854146,1.4,Utah,2012
12/1/13,2898773,1.56,Utah,2013
12/1/14,2938327,1.36,Utah,2014
12/1/15,2983626,1.54,Utah,2015
12/1/16,3044241,2.03,Utah,2016
12/1/17,3103540,1.95,Utah,2017
12/1/18,3155153,1.66,Utah,2018
12/1/19,3203383,1.53,Utah,2019
12/1/20,3283785,2.51,Utah,2020
12/1/21,3339113,1.68,Utah,2021
12/1/22,3380800,1.25,Utah,2022
12/1/00,530000,,Florida,1900
12/1/01,544000,2.64,Florida,1901
12/1/02,565000,3.86,Florida,1902
12/1/03,587000,3.89,Florida,1903
12/1/04,599000,2.04,Florida,1904
12/1/05,615000,2.67,Florida,1905
12/1/06,628000,2.11,Florida,1906
12/1/07,645000,2.71,Florida,1907
12/1/08,684000,6.05,Florida,1908
12/1/09,724000,5.85,Florida,1909
12/1/10,756000,4.42,Florida,1910
12/1/11,773000,2.25,Florida,1911
12/1/12,801000,3.62,Florida,1912
12/1/13,828000,3.37,Florida,1913
12/1/14,871000,5.19,Florida,1914
12/1/15,922000,5.86,Florida,1915
12/1/16,924000,0.22,Florida,1916
12/1/17,895000,-3.14,Florida,1917
12/1/18,865000,-3.35,Florida,1918
12/1/19,898000,3.82,Florida,1919
12/1/20,962000,7.13,Florida,1920
12/1/21,997000,3.64,Florida,1921
12/1/22,1044000,4.71,Florida,1922
12/1/23,1097000,5.08,Florida,1923
12/1/24,1160000,5.74,Florida,1924
12/1/25,1264000,8.97,Florida,1925
12/1/26,1368000,8.23,Florida,1926
12/1/27,1418000,3.65,Florida,1927
12/1/28,1433000,1.06,Florida,1928
12/1/29,1445000,0.84,Florida,1929
12/1/30,1471000,1.8,Florida,1930
12/1/31,1493000,1.5,Florida,1931
12/1/32,1521000,1.88,Florida,1932
12/1/33,1552000,2.04,Florida,1933
12/1/34,1585000,2.13,Florida,1934
12/1/35,1613000,1.77,Florida,1935
12/1/36,1651000,2.36,Florida,1936
12/1/37,1709000,3.51,Florida,1937
12/1/38,1771000,3.63,Florida,1938
12/1/39,1836000,3.67,Florida,1939
12/1/40,1915000,4.3,Florida,1940
12/1/41,2017000,5.33,Florida,1941
12/1/42,2151000,6.64,Florida,1942
12/1/43,2451000,13.95,Florida,1943
12/1/44,2420000,-1.26,Florida,1944
12/1/45,2465000,1.86,Florida,1945
12/1/46,2440000,-1.01,Florida,1946
12/1/47,2528000,3.61,Florida,1947
12/1/48,2578000,1.98,Florida,1948
12/1/49,2668000,3.49,Florida,1949
12/1/50,2810000,5.32,Florida,1950
12/1/51,2980000,6.05,Florida,1951
12/1/52,3157000,5.94,Florida,1952
12/1/53,3310000,4.85,Florida,1953
12/1/54,3505000,5.89,Florida,1954
12/1/55,3747000,6.9,Florida,1955
12/1/56,4047000,8.01,Florida,1956
12/1/57,4372000,8.03,Florida,1957
12/1/58,4630000,5.9,Florida,1958
12/1/59,4808000,3.84,Florida,1959
12/1/60,5004000,4.08,Florida,1960
12/1/61,5243000,4.78,Florida,1961
12/1/62,5458000,4.1,Florida,1962
12/1/63,5628000,3.11,Florida,1963
12/1/64,5781000,2.72,Florida,1964
12/1/65,5954000,2.99,Florida,1965
12/1/66,6104000,2.52,Florida,1966
12/1/67,6242000,2.26,Florida,1967
12/1/68,6433000,3.06,Florida,1968
12/1/69,6641000,3.23,Florida,1969
12/1/70,6791418,2.26,Florida,1970
12/1/71,7158304,5.4,Florida,1971
12/1/72,7511463,4.93,Florida,1972
12/1/73,7913696,5.35,Florida,1973
12/1/74,8298762,4.87,Florida,1974
12/1/75,8518422,2.65,Florida,1975
12/1/76,8667379,1.75,Florida,1976
12/1/77,8856183,2.18,Florida,1977
12/1/78,9102032,2.78,Florida,1978
12/1/79,9426159,3.56,Florida,1979
12/1/80,9839835,4.39,Florida,1980
12/1/81,10192774,3.59,Florida,1981
12/1/82,10471407,2.73,Florida,1982
12/1/83,10749851,2.66,Florida,1983
12/1/84,11039925,2.7,Florida,1984
12/1/85,11351118,2.82,Florida,1985
12/1/86,11667505,2.79,Florida,1986
12/1/87,11997283,2.83,Florida,1987
12/1/88,12306395,2.58,Florida,1988
12/1/89,12637715,2.69,Florida,1989
12/1/90,13018365,3.01,Florida,1990
12/1/91,13289497,2.08,Florida,1991
12/1/92,13504775,1.62,Florida,1992
12/1/93,13713593,1.55,Florida,1993
12/1/94,13961798,1.81,Florida,1994
12/1/95,14185403,1.6,Florida,1995
12/1/96,14426911,1.7,Florida,1996
12/1/97,14683350,1.78,Florida,1997
12/1/98,14908230,1.53,Florida,1998
12/1/99,15111244,1.36,Florida,1999
12/1/00,16047515,6.2,Florida,2000
12/1/01,16356966,1.93,Florida,2001
12/1/02,16689370,2.03,Florida,2002
12/1/03,17004085,1.89,Florida,2003
12/1/04,17415318,2.42,Florida,2004
12/1/05,17842038,2.45,Florida,2005
12/1/06,18166990,1.82,Florida,2006
12/1/07,18367842,1.11,Florida,2007
12/1/08,18527305,0.87,Florida,2008
12/1/09,18652644,0.68,Florida,2009
12/1/10,18846143,1.04,Florida,2010
12/1/11,19055607,1.11,Florida,2011
12/1/12,19302016,1.29,Florida,2012
12/1/13,19551678,1.29,Florida,2013
12/1/14,19853880,1.55,Florida,2014
12/1/15,20219111,1.84,Florida,2015
12/1/16,20627237,2.02,Florida,2016
12/1/17,20977089,1.7,Florida,2017
12/1/18,21254926,1.32,Florida,2018
12/1/19,21492056,1.12,Florida,2019
12/1/20,21589602,0.45,Florida,2020
12/1/21,21828069,1.1,Florida,2021
12/1/22,22244823,1.91,Florida,2022